GEOID,scag_coverage_pct,scag_parcel_count,lac_coverage_pct,lac_parcel_count,coverage_diff
060371066422,0.22,1,0.0,0,0.22
060371066423,0.73,3,0.86,2,0.13
060371066431,0.24,4,0.0,0,0.24
060371066432,0.71,1,0.0,0,0.71
060371066433,0.13,1,0.0,0,0.13
060371066451,0.0,0,0.0,0,0.0
060371066452,0.05,1,0.0,0,0.05
060371066461,5.51,13,5.08,8,0.4299999999999997
060371066462,1.05,3,0.35,1,0.7000000000000001
060371066481,7.87,73,4.22,14,3.6500000000000004
060371066482,9.37,20,16.3,26,6.9300000000000015
060371066491,11.31,9,9.68,5,1.6300000000000008
060371066492,1.23,2,0.0,0,1.23
060371070101,0.81,3,0.81,3,0.0
060371070102,3.56,6,17.54,10,13.979999999999999
060371070201,4.62,6,4.75,6,0.1299999999999999
060371070202,0.0,0,0.0,0,0.0
060371070203,0.37,2,0.37,2,0.0
060371070204,2.21,1,0.0,0,2.21
060371081011,0.22,3,0.91,5,0.6900000000000001
060371081021,100.0,66,11.36,7,88.64
060371081022,0.41,2,0.0,0,0.41
060371081023,8.46,61,0.0,0,8.46
060371081031,0.09,1,0.0,0,0.09
060371081032,0.09,1,0.0,0,0.09
060371081041,0.17,2,0.11,1,0.06000000000000001
060371082021,0.0,0,19.27,10,19.27
060371082022,0.06,2,0.0,0,0.06
060371082023,0.06,2,0.75,2,0.69
060371082031,0.0,0,0.0,0,0.0
060371082032,0.0,0,0.0,0,0.0
060371082041,9.8,18,17.11,31,7.309999999999999
060371091001,9.46,24,22.62,35,13.16
060371091002,1.53,12,2.85,13,1.32
060371092001,0.22,1,0.0,0,0.22
060371092002,0.2,1,0.0,0,0.2
060371092003,100.0,100,14.14,4,85.86
060371093001,2.38,5,1.47,3,0.9099999999999999
060371093002,0.44,3,0.0,0,0.44
060371093003,4.96,7,0.81,2,4.15
060371094001,0.0,0,1.94,1,1.94
060371094002,0.71,1,0.0,0,0.71
060371094003,0.22,1,0.22,1,0.0
060371095001,7.26,13,7.39,12,0.1299999999999999
060371095002,6.86,12,3.03,7,3.8300000000000005
060371095003,6.79,11,7.4,12,0.6100000000000003
060371096011,1.74,6,1.19,4,0.55
060371096012,0.24,1,0.0,0,0.24
060371096013,0.09,1,0.0,0,0.09
060371096014,0.1,2,0.0,1,0.1
060371096031,1.3,1,1.3,1,0.0
060371096032,6.34,10,6.72,10,0.3799999999999999
060371096033,5.4,25,6.0,28,0.5999999999999996
060371096041,12.81,14,18.15,14,5.339999999999998
060371096042,14.39,2,16.85,8,2.460000000000001
060371096043,2.89,8,5.75,13,2.86
060371097001,0.12,1,0.0,0,0.12
060371097002,0.54,2,1.25,3,0.71
060371097003,0.81,3,1.22,5,0.4099999999999999
060371098001,0.88,4,0.43,2,0.45
060371098002,0.32,1,0.29,1,0.030000000000000027
060371098003,2.65,2,2.46,1,0.18999999999999995
060371098004,0.29,2,0.84,3,0.55
060371111001,0.36,1,0.36,1,0.0
060371111002,8.51,9,8.58,8,0.07000000000000028
060371112011,7.55,4,7.39,3,0.16000000000000014
060371112012,4.7,4,4.48,2,0.21999999999999975
060371112013,0.0,0,0.0,0,0.0
060371112021,2.59,12,2.63,14,0.040000000000000036
060371112022,14.04,30,15.82,42,1.7800000000000011
060371112023,1.14,7,2.23,11,1.09
060371112041,0.05,2,0.0,0,0.05
060371112042,0.09,1,0.0,0,0.09
060371112043,0.12,1,0.0,0,0.12
060371112051,12.89,6,12.99,4,0.09999999999999964
060371112052,90.7,37,4.75,7,85.95
060371112053,0.48,1,0.0,0,0.48
060371112061,2.35,3,0.0,0,2.35
060371112062,0.0,0,0.0,0,0.0
060371112063,0.25,1,0.0,0,0.25
060371112064,17.45,12,13.94,9,3.51
060371112065,3.25,5,2.88,3,0.3700000000000001
060371113021,4.75,14,7.21,18,2.46
060371113022,50.52,19,1.2,1,49.32
060371113023,0.56,2,0.23,1,0.33000000000000007
060371113024,0.0,0,0.0,0,0.0
060371113031,4.77,4,9.06,11,4.290000000000001
060371113032,3.24,42,4.68,56,1.4399999999999995
060371113041,0.0,0,0.0,0,0.0
