GEOID,scag_area,lac_com_area,lac_food_area,cbg_area,scag_coverage_pct,lac_com_coverage_pct,lac_food_coverage_pct,scag_area_acres,lac_com_area_acres,lac_food_area_acres,cbg_area_acres
060371011101,1419.556778314566,0.0,0.0,447306.22333265375,0.32,0.0,0.0,0.3507801192197211,0.0,0.0,110.53177494925245
060371011102,3045.5132976374807,4764.05445048477,1388.3685232114697,354404.97912523773,0.86,1.34,0.39,0.7525627251760343,1.1772234923173859,0.3430733335451752,87.57537756060464
060371011103,570.7442032751961,0.0,0.0,340691.28776032844,0.17,0.0,0.0,0.14103396407049068,0.0,0.0,84.18665062455575
060371011221,2825.951160796534,1754.172643786512,0.0,1590038.2609180766,0.18,0.11,0.0,0.6983077395962063,0.433465500302132,0.0,392.90701101154946
060371011222,6609.438120666255,0.0,0.0,1054014.955817472,0.63,0.0,0.0,1.6332277280908591,0.0,0.0,260.4527677293738
060371012201,482.90477730230754,0.0,0.0,332118.19543145644,0.15,0.0,0.0,0.11932836920760323,0.0,0.0,82.0681933742766
060371012202,23852.57203519362,26659.47264780331,1582.108383209984,366770.1109191019,6.5,7.27,0.43,5.89409891172956,6.587699158348897,0.3909474955555033,90.63086816941922
060371012211,19127.744820225154,16539.023369620245,0.0,151835.79760573528,12.6,10.89,0.0,4.726568680408333,4.086881678844373,0.0,37.51944268773652
060371012212,1024.6243760000543,1011.7556449198458,0.0,202341.59637420235,0.51,0.5,0.0,0.25319019729204967,0.2500102645894764,0.0,49.99969735872247
060371012221,49069.11871447343,55151.59646513369,2566.1542844160103,296514.5010834644,16.55,18.6,0.87,12.125243298197578,13.628256283040027,0.634110533354219,73.27032890077568
060371013001,14199.952740544519,10260.887049547462,9583.010698326247,1380533.761865532,1.03,0.74,0.69,3.508884738767973,2.5355204085699223,2.3680135142138337,341.1373218540831
060371013002,53141.55656184884,81846.40312064634,48980.74697393805,627046.1123645481,8.47,13.05,7.81,13.131564605974601,20.224686664842704,12.103406165541665,154.94646879334468
060371013003,9004.228066810607,6523.295472386622,0.0,301044.2573858526,2.99,2.17,0.0,2.2249932112665918,1.6119414161271288,0.0,74.3896560598306
060371013004,14999.968422542239,13399.783574971403,10831.966645783516,271880.7569292938,5.52,4.93,3.98,3.7065729190477343,3.311158631870765,2.676637250045947,67.1831981545948
060371014001,33469.83551970165,31194.116283673586,2480.517219816074,229932.10512782194,14.56,13.57,1.08,8.270576473739156,7.7082340038082755,0.6129491538385233,56.8174605491588
060371014002,115885.11804042393,12333.021779989962,0.0,5272230.669728491,2.2,0.23,0.0,28.635836299746437,3.047556051587278,0.0,1302.7965708261474
060371014003,23893.530945322214,28626.889840178108,4299.842620821803,807968.9401307015,2.96,3.54,0.53,5.904220078841365,7.073858534175731,1.0625142510669476,199.65347316461828
060371021031,10210.970292719736,5719.381334301965,0.0,1186502.1261865585,0.86,0.48,0.0,2.5231857093324033,1.413289906368872,0.0,293.19106050293226
060371021041,1374.1129277213158,31750.963846732735,0.0,745689.7792499327,0.18,4.26,0.0,0.33955069918353914,7.845834033297067,0.0,184.26395735772093
060371021042,1287.6634290614224,0.0,0.0,913152.340563148,0.14,0.0,0.0,0.318188562839541,0.0,0.0,225.64485745249158
060371021051,1793.263457257177,4922.62428044343,0.0,266216.075015664,0.67,1.85,0.0,0.4431250506766624,1.216406950638504,0.0,65.78342476943715
060371021052,2719.9303619256443,5985.128516806702,833.8474779776782,226550.7568012439,1.2,2.64,0.37,0.6721094296477614,1.4789574652755295,0.20604819913110792,55.98191118104638
060371021071,657990.7891103628,119491.51054193282,0.0,8315004.231215135,7.91,1.44,0.0,162.59306494499734,29.526995294552115,0.0,2054.68229245551
060371021072,55083.43100572101,47756.80414318482,977.7330399816854,4607437.0772280665,1.2,1.04,0.02,13.611412231188973,11.800963305454387,0.24160309581772557,1138.5224965544028
060371031011,5155.758547285943,0.0,0.0,1759664.0607840572,0.29,0.0,0.0,1.2740156825796911,0.0,0.0,434.82245899410566
060371031012,0.0,0.0,0.0,270148.36112451134,0.0,0.0,0.0,0.0,0.0,0.0,66.75511382840192
060371031021,14687.451198523362,14940.188612958387,12333.212527174754,266397.62425022956,5.51,5.61,4.63,3.62934823119149,3.691801006396482,3.0476031862431396,65.82828656229955
060371031022,10209.81565729826,10317.71364995079,0.0,225265.414078393,4.53,4.58,0.0,2.522900392706124,2.549562567340069,0.0,55.664296077200255
060371031023,1022.7775501157737,0.0,0.0,262886.2525385409,0.39,0.0,0.0,0.25273383667741106,0.0,0.0,64.96060771600972
060371031024,4963.902751283491,7027.960127240668,525.7617406282947,163027.57705586439,3.04,4.31,0.32,1.2266070829218185,1.736646768177833,0.12991855547879558,40.284991618057056
060371031025,21434.794035596373,24647.375767093945,16632.128488145052,323449.25335377106,6.63,7.62,5.14,5.296652956836162,6.090499191092316,4.109888454673991,79.9260511352534
060371032011,14151.253605061678,14810.479336518061,4331.256913810148,512691.1045713689,2.76,2.89,0.84,3.4968509203173648,3.6597491461618654,1.070276891919354,126.68873096993046
060371032012,49989.597669010036,47253.74012655441,45164.31336848693,1442105.1321860966,3.47,3.28,3.13,12.352698601390843,11.676653479722525,11.160344883622558,356.3519388046023
060371032021,65271.70054786083,33674.77680895203,0.0,4738415.072904775,1.38,0.71,0.0,16.128988462889737,8.321218569197745,0.0,1170.8878641399003
060371033001,22739.850000492097,20087.776504927282,1024.4456344608755,2870420.026672484,0.79,0.7,0.04,5.6191393088777195,4.963797676077217,0.25314602929582686,709.296235661895
